No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB
1,extremely tricky,BN,bimodal,24,24,24,24,24,24,24,23,23
2,tricky,BN,bimodal,21,21,21,21,21,21,21,21,21
3,tricky,BN,bimodal,20,20,20,20,20,20,20,20,20
4,extremely tricky,BN,bimodal,25,24,25,25,24,24,24,24,24
5,very tricky,BN,bimodal,22,22,23,22,22,22,22,22,22
6,extremely tricky,BN,bimodal,22,23,22,23,23,23,22,22,22
7,very tricky,BN,bimodal,26,26,26,26,26,26,26,26,26
8,extremely tricky,BN,bimodal,25,24,25,25,24,24,24,24,24
9,extremely tricky,BN,bimodal,24,24,24,24,24,24,24,23,23
10,tricky,BN,bimodal,23,22,22,22,22,22,22,22,22
11,extremely tricky,BN,bimodal,24,24,25,25,24,24,25,24,24
12,extremely tricky,BN,bimodal,26,26,26,26,26,26,26,25,25
13,extremely tricky,BN,bimodal,25,24,26,25,24,24,25,24,24
14,extremely tricky,BN,bimodal,21,21,21,21,21,21,21,20,20
15,tricky,BN,bimodal,24,24,24,24,24,24,24,24,24
16,tricky,BN,bimodal,23,23,23,24,23,23,23,23,23
17,extremely tricky,BN,bimodal,22,22,23,22,22,22,22,21,21
18,extremely tricky,BN,bimodal,20,20,20,20,20,20,20,19,19
19,extremely tricky,BN,bimodal,23,23,23,24,23,23,23,23,23
20,less tricky,BN,bimodal,21,21,21,21,21,21,21,21,21
21,extremely tricky,BN,bimodal,22,21,21,21,21,21,21,21,21
22,extremely tricky,BN,bimodal,25,25,25,25,25,25,25,24,24
23,very tricky,BN,bimodal,24,24,25,24,24,24,24,24,24
24,tricky,BN,bimodal,25,24,25,25,24,24,24,24,24
25,extremely tricky,BN,bimodal,23,23,23,23,22,23,23,22,22
26,extremely tricky,BN,peak at the bottom,15,15,15,15,15,15,15,14,14
27,extremely tricky,BN,peak at the bottom,14,14,14,14,14,14,14,13,13
28,extremely tricky,BN,peak at the bottom,15,15,15,15,15,15,15,14,14
29,extremely tricky,BN,peak at the bottom,15,15,15,15,15,15,15,14,14
30,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
31,less tricky,BN,peak at the bottom,14,14,14,14,14,14,15,14,14
32,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
33,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
34,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
35,tricky,BN,peak at the bottom,16,15,15,16,15,15,15,15,15
36,extremely tricky,BN,peak at the bottom,15,15,15,15,15,15,15,14,14
37,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
38,tricky,BN,peak at the bottom,14,15,14,14,14,14,14,14,14
39,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
40,very tricky,BN,peak at the bottom,15,15,15,14,15,15,15,14,14
41,less tricky,BN,peak at the bottom,13,13,13,13,13,13,13,13,13
42,tricky,BN,peak at the bottom,14,14,14,15,14,14,14,14,14
43,extremely tricky,BN,peak at the bottom,15,15,15,15,15,15,15,14,14
44,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
45,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
46,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
47,tricky,BN,peak at the bottom,14,14,15,15,14,14,15,14,14
48,less tricky,BN,peak at the bottom,15,15,15,15,15,15,15,15,15
49,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
50,less tricky,BN,peak at the bottom,14,14,14,14,14,14,14,14,14
51,extremely tricky,BN,peak in the middle,54,55,55,53,51,51,55,48,51
52,extremely tricky,BN,peak in the middle,56,55,57,57,54,54,56,52,54
53,extremely tricky,BN,peak in the middle,55,52,54,56,53,53,53,52,53
54,extremely tricky,BN,peak in the middle,55,53,55,55,52,52,54,51,52
55,extremely tricky,BN,peak in the middle,57,56,58,58,53,53,57,52,54
56,extremely tricky,BN,peak in the middle,58,55,56,56,54,55,55,51,53
57,open (not known yet),BN,peak in the middle,59,57,62,61,55,55,60,53,58
58,extremely tricky,BN,peak in the middle,60,58,61,61,58,58,60,56,58
59,extremely tricky,BN,peak in the middle,60,59,61,61,59,59,61,57,57
60,open (not known yet),BN,peak in the middle,59,58,57,57,59,58,57,53,57
61,extremely tricky,BN,peak in the middle,58,57,61,60,56,56,59,54,54
62,extremely tricky,BN,peak in the middle,57,53,57,57,53,54,57,50,53
63,extremely tricky,BN,peak in the middle,66,63,63,64,63,64,63,61,61
64,extremely tricky,BN,peak in the middle,61,59,59,60,58,57,58,55,56
65,extremely tricky,BN,peak in the middle,67,63,65,65,62,63,66,61,61
66,extremely tricky,BN,peak in the middle,55,55,55,56,52,53,53,50,52
67,extremely tricky,BN,peak in the middle,61,57,59,58,57,57,59,54,56
68,extremely tricky,BN,peak in the middle,61,59,59,60,57,57,58,57,57
69,extremely tricky,BN,peak in the middle,57,57,59,59,55,55,57,53,55
