No.,trickiness,graph,time,RL,algo_T,algo_F,algo_L,algo_tdL,algo_tdS,algo_pw,LB,UB,,
1,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,0.041034483
2,less tricky,BN,peak at the bottom,6,6,6,6,6,6,6,6,6,0,268
3,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
4,less tricky,BN,peak at the bottom,7,7,8,8,7,7,8,7,7,0,
5,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
6,less tricky,BN,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
7,tricky,BN,peak at the bottom,7,7,8,8,7,7,8,7,7,0,
8,less tricky,BN,peak at the bottom,7,7,7,7,8,8,8,7,7,0,
9,less tricky,BN,peak at the bottom,9,9,9,9,9,9,9,9,9,0,
10,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
11,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
12,very tricky,BN,peak at the bottom,7,7,7,7,7,7,7,6,6,0.166666667,
13,less tricky,BN,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
14,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
15,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
16,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
17,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
18,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
19,less tricky,BN,peak at the bottom,8,8,8,8,8,8,8,8,8,0,
20,less tricky,BN,peak at the bottom,8,9,9,8,9,9,10,8,8,0,
21,less tricky,BN,peak at the bottom,6,6,6,6,6,6,6,6,6,0,
22,tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
23,less tricky,BN,peak at the bottom,7,7,8,7,7,7,7,7,7,0,
24,less tricky,BN,peak at the bottom,7,7,7,7,7,7,7,7,7,0,
25,tricky,BN,peak at the bottom,6,7,7,7,6,7,6,6,6,0,
26,extremely tricky,BN,peak in the middle,30,28,29,30,27,27,29,27,27,0.111111111,
27,extremely tricky,BN,peak in the middle,32,32,31,32,31,31,32,30,30,0.066666667,
28,open (not known yet),BN,peak in the middle,30,30,31,31,29,29,29,28,29,0.034482759,
29,extremely tricky,BN,peak in the middle,32,29,32,32,29,31,31,29,29,0.103448276,
30,open (not known yet),BN,peak in the middle,30,28,30,31,28,29,30,26,28,0.071428571,
31,open (not known yet),BN,peak in the middle,28,28,28,28,28,28,28,27,28,0,
32,extremely tricky,BN,peak in the middle,28,26,29,30,26,27,29,25,26,0.076923077,
33,extremely tricky,BN,peak in the middle,27,27,28,26,25,25,26,24,25,0.08,
34,extremely tricky,BN,peak in the middle,31,31,32,33,31,31,32,30,30,0.033333333,
35,extremely tricky,BN,peak in the middle,33,34,34,34,32,34,34,31,31,0.064516129,
36,extremely tricky,BN,peak in the middle,33,32,33,33,32,32,32,31,31,0.064516129,
37,extremely tricky,BN,peak in the middle,34,32,34,34,32,32,34,32,32,0.0625,
38,extremely tricky,BN,peak in the middle,33,32,34,35,32,32,34,31,31,0.064516129,
39,extremely tricky,BN,peak in the middle,31,29,31,32,29,29,30,29,29,0.068965517,
40,extremely tricky,BN,peak in the middle,28,27,29,29,26,26,28,26,26,0.076923077,
41,extremely tricky,BN,peak in the middle,29,28,29,28,28,27,27,25,26,0.115384615,
42,extremely tricky,BN,peak in the middle,25,25,26,26,25,25,25,23,24,0.041666667,
43,open (not known yet),BN,peak in the middle,27,27,27,28,27,27,27,25,26,0.038461538,
44,extremely tricky,BN,peak in the middle,27,27,27,27,27,26,27,24,25,0.08,
45,extremely tricky,BN,peak in the middle,27,27,28,27,27,27,27,24,25,0.08,
46,extremely tricky,BN,peak in the middle,30,29,31,31,29,29,29,28,29,0.034482759,
47,extremely tricky,BN,peak in the middle,30,31,30,30,30,30,28,28,28,0.071428571,
48,open (not known yet),BN,peak in the middle,29,28,30,29,29,29,29,27,28,0.035714286,
49,extremely tricky,BN,peak in the middle,26,27,28,28,26,27,26,24,25,0.04,
50,extremely tricky,BN,peak in the middle,28,30,30,31,28,27,29,26,27,0.037037037,
51,less tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
52,less tricky,BN,bimodal,11,11,11,11,11,11,11,11,11,0,
53,extremely tricky,BN,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
54,very tricky,BN,bimodal,11,12,12,12,11,11,12,11,11,0,
55,tricky,BN,bimodal,13,14,13,13,13,14,13,13,13,0,
56,very tricky,BN,bimodal,12,11,12,11,11,11,11,11,11,0.090909091,
57,tricky,BN,bimodal,13,13,13,14,13,13,14,13,13,0,
58,tricky,BN,bimodal,11,11,12,11,11,11,11,11,11,0,
59,very tricky,BN,bimodal,11,11,11,12,12,11,12,11,11,0,
60,extremely tricky,BN,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
61,tricky,BN,bimodal,13,13,13,13,13,13,13,13,13,0,
62,very tricky,BN,bimodal,13,13,13,14,14,13,13,13,13,0,
63,less tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
64,less tricky,BN,bimodal,13,13,13,13,13,13,13,13,13,0,
65,tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
66,extremely tricky,BN,bimodal,13,13,13,13,13,13,12,12,12,0.083333333,
67,extremely tricky,BN,bimodal,13,13,13,13,13,13,13,12,12,0.083333333,
68,less tricky,BN,bimodal,12,12,12,12,12,12,12,12,12,0,
